,Games,Year,Sport,Discipline,Athlete,Team,Gender,Event,Medal,Gold,Silver,Bronze
0,Athens (1896),1896,Aquatics,Swimming,alfred hajos,HUN,Men,100m freestyle men,Gold,1,0,0
1,Athens (1896),1896,Aquatics,Swimming,Otto Herschmann,AUT,Men,100m freestyle men,Silver,0,1,0
2,Athens (1896),1896,Aquatics,Swimming,dimitrios drivas,GRE,Men,100m freestyle for sailors men,Bronze,0,0,1
3,Athens (1896),1896,Aquatics,Swimming,Ioannis Malokinis,GRE,Men,100m freestyle for sailors men,Gold,1,0,0
4,Athens (1896),1896,Aquatics,Swimming,spiridon chasapis,GRE,Men,100m freestyle for sailors men,Silver,0,1,0
5,Athens (1896),1896,Aquatics,Swimming,Efstathios Chorophas,GRE,Men,1200m freestyle men,Bronze,0,0,1
6,Athens (1896),1896,Aquatics,Swimming,alfred hajos,HUN,Men,1200m freestyle men,Gold,1,0,0
7,Athens (1896),1896,Aquatics,Swimming,joannis andreou,GRE,Men,1200m freestyle men,Silver,0,1,0
8,Athens (1896),1896,Aquatics,Swimming,Efstathios Chorophas,GRE,Men,400m freestyle men,Bronze,0,0,1
9,Athens (1896),1896,Aquatics,Swimming,paul neumann,AUT,Men,400m freestyle men,Gold,1,0,0
10,Athens (1896),1896,Aquatics,Swimming,Antonios Pepanos,GRE,Men,400m freestyle men,Silver,0,1,0
11,Athens (1896),1896,Athletics,Athletics,Francis Lane,USA,Men,100m men,Bronze,0,0,1
12,Athens (1896),1896,Athletics,Athletics,Alajos Szokolyi,HUN,Men,100m men,Bronze,0,0,1
13,Athens (1896),1896,Athletics,Athletics,Thomas Burke,USA,Men,100m men,Gold,1,0,0
14,Athens (1896),1896,Athletics,Athletics,Fritz Hofmann,GER,Men,100m men,Silver,0,1,0
15,Athens (1896),1896,Athletics,Athletics,Thomas Curtis,USA,Men,110m hurdles men,Gold,1,0,0
16,Athens (1896),1896,Athletics,Athletics,Grantley Goulding,GBR,Men,110m hurdles men,Silver,0,1,0
17,Athens (1896),1896,Athletics,Athletics,Albin Lermusiaux,FRA,Men,1500m men,Bronze,0,0,1
18,Athens (1896),1896,Athletics,Athletics,Edwin Flack,AUS,Men,1500m men,Gold,1,0,0
19,Athens (1896),1896,Athletics,Athletics,Arthur Blake,USA,Men,1500m men,Silver,0,1,0
20,Athens (1896),1896,Athletics,Athletics,Charles Gmelin,GBR,Men,400m men,Bronze,0,0,1
21,Athens (1896),1896,Athletics,Athletics,Thomas Burke,USA,Men,400m men,Gold,1,0,0
22,Athens (1896),1896,Athletics,Athletics,Herbert Jamison,USA,Men,400m men,Silver,0,1,0
23,Athens (1896),1896,Athletics,Athletics,Dimitrios Golemis,GRE,Men,800m men,Bronze,0,0,1
24,Athens (1896),1896,Athletics,Athletics,Edwin Flack,AUS,Men,800m men,Gold,1,0,0
25,Athens (1896),1896,Athletics,Athletics,Nandor Dani,HUN,Men,800m men,Silver,0,1,0
26,Athens (1896),1896,Athletics,Athletics,Sotirios Versis,GRE,Men,discus throw men,Bronze,0,0,1
27,Athens (1896),1896,Athletics,Athletics,Robert Garrett,USA,Men,discus throw men,Gold,1,0,0
28,Athens (1896),1896,Athletics,Athletics,Panagiotis Paraskevopoulos,GRE,Men,discus throw men,Silver,0,1,0
29,Athens (1896),1896,Athletics,Athletics,Ellery Clark,USA,Men,high jump men,Gold,1,0,0
30,Athens (1896),1896,Athletics,Athletics,James Connolly,USA,Men,high jump men,Silver,0,1,0
31,Athens (1896),1896,Athletics,Athletics,Robert Garrett,USA,Men,high jump men,Silver,0,1,0
32,Athens (1896),1896,Athletics,Athletics,James Connolly,USA,Men,long jump men,Bronze,0,0,1
33,Athens (1896),1896,Athletics,Athletics,Ellery Clark,USA,Men,long jump men,Gold,1,0,0
34,Athens (1896),1896,Athletics,Athletics,Robert Garrett,USA,Men,long jump men,Silver,0,1,0
35,Athens (1896),1896,Athletics,Athletics,Gyula Kellner,HUN,Men,marathon men,Bronze,0,0,1
36,Athens (1896),1896,Athletics,Athletics,Spyridon Louis,GRE,Men,marathon men,Gold,1,0,0
37,Athens (1896),1896,Athletics,Athletics,Kharilaos Vasilakos,GRE,Men,marathon men,Silver,0,1,0
38,Athens (1896),1896,Athletics,Athletics,Evangelos Damaskos,GRE,Men,pole vault men,Bronze,0,0,1
39,Athens (1896),1896,Athletics,Athletics,Ioannis Theodoropoulos,GRE,Men,pole vault men,Bronze,0,0,1
40,Athens (1896),1896,Athletics,Athletics,William Welles Hoyt,USA,Men,pole vault men,Gold,1,0,0
41,Athens (1896),1896,Athletics,Athletics,Albert Tyler,USA,Men,pole vault men,Silver,0,1,0
42,Athens (1896),1896,Athletics,Athletics,Georgios Papasideris,GRE,Men,shot put men,Bronze,0,0,1
43,Athens (1896),1896,Athletics,Athletics,Robert Garrett,USA,Men,shot put men,Gold,1,0,0
44,Athens (1896),1896,Athletics,Athletics,Miltiadis Gouskos,GRE,Men,shot put men,Silver,0,1,0
45,Athens (1896),1896,Athletics,Athletics,Ioannis Persakis,GRE,Men,triple jump men,Bronze,0,0,1
46,Athens (1896),1896,Athletics,Athletics,James Connolly,USA,Men,triple jump men,Gold,1,0,0
47,Athens (1896),1896,Athletics,Athletics,Alexandre Tufferi,FRA,Men,triple jump men,Silver,0,1,0
48,Athens (1896),1896,Cycling,Cycling Road,Edward Battel,GBR,Men,individual road race men,Bronze,0,0,1
49,Athens (1896),1896,Cycling,Cycling Road,Aristidis Konstantinidis,GRE,Men,individual road race men,Gold,1,0,0
50,Athens (1896),1896,Cycling,Cycling Road,August Goedrich,GER,Men,individual road race men,Silver,0,1,0
51,Athens (1896),1896,Cycling,Cycling Track,Léon Flameng,FRA,Men,100km men,Gold,1,0,0
52,Athens (1896),1896,Cycling,Cycling Track,Georgios Kolettis,GRE,Men,100km men,Silver,0,1,0
53,Athens (1896),1896,Cycling,Cycling Track,Adolf Schmal,AUT,Men,10km men,Bronze,0,0,1
54,Athens (1896),1896,Cycling,Cycling Track,Paul Masson,FRA,Men,10km men,Gold,1,0,0
55,Athens (1896),1896,Cycling,Cycling Track,Léon Flameng,FRA,Men,10km men,Silver,0,1,0
56,Athens (1896),1896,Cycling,Cycling Track,Adolf Schmal,AUT,Men,12-hour race men,Gold,1,0,0
57,Athens (1896),1896,Cycling,Cycling Track,Frank Keeping,GBR,Men,12-hour race men,Silver,0,1,0
58,Athens (1896),1896,Cycling,Cycling Track,Adolf Schmal,AUT,Men,1km time trial men,Bronze,0,0,1
59,Athens (1896),1896,Cycling,Cycling Track,Paul Masson,FRA,Men,1km time trial men,Gold,1,0,0
60,Athens (1896),1896,Cycling,Cycling Track,Stamatios Nikolopoulos,GRE,Men,1km time trial men,Silver,0,1,0
61,Athens (1896),1896,Cycling,Cycling Track,Léon Flameng,FRA,Men,Sprint indivual men,Bronze,0,0,1
62,Athens (1896),1896,Cycling,Cycling Track,Paul Masson,FRA,Men,Sprint indivual men,Gold,1,0,0
63,Athens (1896),1896,Cycling,Cycling Track,Stamatios Nikolopoulos,GRE,Men,Sprint indivual men,Silver,0,1,0
64,Athens (1896),1896,Fencing,Fencing,Perikles Pierrakos-mavromichalis,GRE,Men,foil individual men,Bronze,0,0,1
65,Athens (1896),1896,Fencing,Fencing,Eugène-Henri Gravelotte,FRA,Men,foil individual men,Gold,1,0,0
66,Athens (1896),1896,Fencing,Fencing,Henri Callot,FRA,Men,foil individual men,Silver,0,1,0
67,Athens (1896),1896,Fencing,Fencing,Leonidas Pyrgos,GRE,Men,"foil, masters men",Gold,1,0,0
68,Athens (1896),1896,Fencing,Fencing,Maurice Perronnet,FRA,Men,"foil, masters men",Silver,0,1,0
69,Athens (1896),1896,Fencing,Fencing,Holger Nielsen,DEN,Men,sabre individual men,Bronze,0,0,1
70,Athens (1896),1896,Fencing,Fencing,Ioannis Georgiadis,GRE,Men,sabre individual men,Gold,1,0,0
71,Athens (1896),1896,Fencing,Fencing,Telemachos Karakalos,GRE,Men,sabre individual men,Silver,0,1,0
72,Athens (1896),1896,Gymnastics,Artistic Gymnastics,Hermann Weingärtner,GER,Men,horizontal bar men,Gold,1,0,0
73,Athens (1896),1896,Gymnastics,Artistic Gymnastics,Alfred Flatow,GER,Men,horizontal bar men,Silver,0,1,0
74,Athens (1896),1896,Gymnastics,Artistic Gymnastics,Alfred Flatow,GER,Men,parallel bars men,Gold,1,0,0
75,Athens (1896),1896,Gymnastics,Artistic Gymnastics,Louis Zutter,SUI,Men,parallel bars men,Silver,0,1,0
76,Athens (1896),1896,Gymnastics,Artistic Gymnastics,Louis Zutter,SUI,Men,pommel horse men,Gold,1,0,0
77,Athens (1896),1896,Gymnastics,Artistic Gymnastics,Hermann Weingärtner,GER,Men,pommel horse men,Silver,0,1,0
78,Athens (1896),1896,Gymnastics,Artistic Gymnastics,Petros Persakis,GRE,Men,rings men,Bronze,0,0,1
79,Athens (1896),1896,Gymnastics,Artistic Gymnastics,Ioannis Mitropoulos,GRE,Men,rings men,Gold,1,0,0
80,Athens (1896),1896,Gymnastics,Artistic Gymnastics,Hermann Weingärtner,GER,Men,rings men,Silver,0,1,0
81,Athens (1896),1896,Gymnastics,Artistic Gymnastics,Fritz Hofmann,GER,Men,rope climbing men,Bronze,0,0,1
82,Athens (1896),1896,Gymnastics,Artistic Gymnastics,Nicolaos Andriakopoulos,GRE,Men,rope climbing men,Gold,1,0,0
83,Athens (1896),1896,Gymnastics,Artistic Gymnastics,Thomasios Xenakis,GRE,Men,rope climbing men,Silver,0,1,0
84,Athens (1896),1896,Gymnastics,Artistic Gymnastics,Konrad Böcker,GER,Men,"team, horizontal bar men",Gold,1,0,0
85,Athens (1896),1896,Gymnastics,Artistic Gymnastics,Alfred Flatow,GER,Men,"team, horizontal bar men",Gold,1,0,0
86,Athens (1896),1896,Gymnastics,Artistic Gymnastics,Gustav Felix Flatow,GER,Men,"team, horizontal bar men",Gold,1,0,0
87,Athens (1896),1896,Gymnastics,Artistic Gymnastics,Georg Hilmar,GER,Men,"team, horizontal bar men",Gold,1,0,0
88,Athens (1896),1896,Gymnastics,Artistic Gymnastics,Fritz Hofmann,GER,Men,"team, horizontal bar men",Gold,1,0,0
89,Athens (1896),1896,Gymnastics,Artistic Gymnastics,Fritz Manteuffel,GER,Men,"team, horizontal bar men",Gold,1,0,0
90,Athens (1896),1896,Gymnastics,Artistic Gymnastics,Karl Neukirch,GER,Men,"team, horizontal bar men",Gold,1,0,0
91,Athens (1896),1896,Gymnastics,Artistic Gymnastics,Richard Röstel,GER,Men,"team, horizontal bar men",Gold,1,0,0
92,Athens (1896),1896,Gymnastics,Artistic Gymnastics,Gustav Schuft,GER,Men,"team, horizontal bar men",Gold,1,0,0
93,Athens (1896),1896,Gymnastics,Artistic Gymnastics,Carl Schumann,GER,Men,"team, horizontal bar men",Gold,1,0,0
94,Athens (1896),1896,Gymnastics,Artistic Gymnastics,Hermann Weingärtner,GER,Men,"team, horizontal bar men",Gold,1,0,0
95,Athens (1896),1896,Gymnastics,Artistic Gymnastics,Ioannis Chrysaphis,GRE,Men,"team, parallel bars men",Bronze,0,0,1
96,Athens (1896),1896,Gymnastics,Artistic Gymnastics,Phillippos Karvelas,GRE,Men,"team, parallel bars men",Bronze,0,0,1
97,Athens (1896),1896,Gymnastics,Artistic Gymnastics,Dimitrios Loundras,GRE,Men,"team, parallel bars men",Bronze,0,0,1
98,Athens (1896),1896,Gymnastics,Artistic Gymnastics,Ioannis Mitropoulos,GRE,Men,"team, parallel bars men",Bronze,0,0,1
99,Athens (1896),1896,Gymnastics,Artistic Gymnastics,Konrad Böcker,GER,Men,"team, parallel bars men",Gold,1,0,0
100,Athens (1896),1896,Gymnastics,Artistic Gymnastics,Alfred Flatow,GER,Men,"team, parallel bars men",Gold,1,0,0
101,Athens (1896),1896,Gymnastics,Artistic Gymnastics,Gustav Felix Flatow,GER,Men,"team, parallel bars men",Gold,1,0,0
102,Athens (1896),1896,Gymnastics,Artistic Gymnastics,Georg Hilmar,GER,Men,"team, parallel bars men",Gold,1,0,0
103,Athens (1896),1896,Gymnastics,Artistic Gymnastics,Fritz Hofmann,GER,Men,"team, parallel bars men",Gold,1,0,0
104,Athens (1896),1896,Gymnastics,Artistic Gymnastics,Fritz Manteuffel,GER,Men,"team, parallel bars men",Gold,1,0,0
105,Athens (1896),1896,Gymnastics,Artistic Gymnastics,Karl Neukirch,GER,Men,"team, parallel bars men",Gold,1,0,0
106,Athens (1896),1896,Gymnastics,Artistic Gymnastics,Richard Röstel,GER,Men,"team, parallel bars men",Gold,1,0,0
107,Athens (1896),1896,Gymnastics,Artistic Gymnastics,Gustav Schuft,GER,Men,"team, parallel bars men",Gold,1,0,0
108,Athens (1896),1896,Gymnastics,Artistic Gymnastics,Carl Schumann,GER,Men,"team, parallel bars men",Gold,1,0,0
109,Athens (1896),1896,Gymnastics,Artistic Gymnastics,Hermann Weingärtner,GER,Men,"team, parallel bars men",Gold,1,0,0
110,Athens (1896),1896,Gymnastics,Artistic Gymnastics,Nicolaos Andriakopoulos,GRE,Men,"team, parallel bars men",Silver,0,1,0
111,Athens (1896),1896,Gymnastics,Artistic Gymnastics,Spyros Athanasopoulos,GRE,Men,"team, parallel bars men",Silver,0,1,0
112,Athens (1896),1896,Gymnastics,Artistic Gymnastics,Petros Persakis,GRE,Men,"team, parallel bars men",Silver,0,1,0
113,Athens (1896),1896,Gymnastics,Artistic Gymnastics,Thomasios Xenakis,GRE,Men,"team, parallel bars men",Silver,0,1,0
114,Athens (1896),1896,Gymnastics,Artistic Gymnastics,Hermann Weingärtner,GER,Men,vault men,Bronze,0,0,1
115,Athens (1896),1896,Gymnastics,Artistic Gymnastics,Carl Schumann,GER,Men,vault men,Gold,1,0,0
116,Athens (1896),1896,Gymnastics,Artistic Gymnastics,Louis Zutter,SUI,Men,vault men,Silver,0,1,0
117,Athens (1896),1896,Shooting,Shooting,Nikolaos Morakis,GRE,Men,25m army pistol men,Bronze,0,0,1
118,Athens (1896),1896,Shooting,Shooting,John Paine,USA,Men,25m army pistol men,Gold,1,0,0
119,Athens (1896),1896,Shooting,Shooting,Sumner Paine,USA,Men,25m army pistol men,Silver,0,1,0
120,Athens (1896),1896,Shooting,Shooting,Holger Nielsen,DEN,Men,25m rapid fire pistol (60 shots) men,Bronze,0,0,1
121,Athens (1896),1896,Shooting,Shooting,Joannis Phrangoudis,GRE,Men,25m rapid fire pistol (60 shots) men,Gold,1,0,0
122,Athens (1896),1896,Shooting,Shooting,Georgios Orphanidis,GRE,Men,25m rapid fire pistol (60 shots) men,Silver,0,1,0
123,Athens (1896),1896,Shooting,Shooting,Joannis Phrangoudis,GRE,Men,50m pistol (60 shots) men,Bronze,0,0,1
124,Athens (1896),1896,Shooting,Shooting,Sumner Paine,USA,Men,50m pistol (60 shots) men,Gold,1,0,0
125,Athens (1896),1896,Shooting,Shooting,Holger Nielsen,DEN,Men,50m pistol (60 shots) men,Silver,0,1,0
126,Athens (1896),1896,Shooting,Shooting,Nicolaos Trikupis,GRE,Men,"army rifle, 200m men",Bronze,0,0,1
127,Athens (1896),1896,Shooting,Shooting,Pantelis Karasevdas,GRE,Men,"army rifle, 200m men",Gold,1,0,0
128,Athens (1896),1896,Shooting,Shooting,Pavlos Pavlidis,GRE,Men,"army rifle, 200m men",Silver,0,1,0
129,Athens (1896),1896,Shooting,Shooting,Viggo Jensen,DEN,Men,"army rifle, 300m men",Bronze,0,0,1
130,Athens (1896),1896,Shooting,Shooting,Georgios Orphanidis,GRE,Men,"army rifle, 300m men",Gold,1,0,0
131,Athens (1896),1896,Shooting,Shooting,Joannis Phrangoudis,GRE,Men,"army rifle, 300m men",Silver,0,1,0
132,Athens (1896),1896,Tennis,Tennis,Edwin Flack,ZZX,Men,doubles men,Bronze,0,0,1
133,Athens (1896),1896,Tennis,Tennis,George Stuart Robertson,ZZX,Men,doubles men,Bronze,0,0,1
134,Athens (1896),1896,Tennis,Tennis,John Boland,ZZX,Men,doubles men,Gold,1,0,0
135,Athens (1896),1896,Tennis,Tennis,Friedrich Traun,ZZX,Men,doubles men,Gold,1,0,0
136,Athens (1896),1896,Tennis,Tennis,Dionysios Kasdaglis,ZZX,Men,doubles men,Silver,0,1,0
137,Athens (1896),1896,Tennis,Tennis,Demetrios Petrokokkinos,ZZX,Men,doubles men,Silver,0,1,0
138,Athens (1896),1896,Tennis,Tennis,Konstantinos Paspatis,GRE,Men,singles men,Bronze,0,0,1
139,Athens (1896),1896,Tennis,Tennis,Momcsillo Tapavicza,HUN,Men,singles men,Bronze,0,0,1
140,Athens (1896),1896,Tennis,Tennis,John Boland,GBR,Men,singles men,Gold,1,0,0
141,Athens (1896),1896,Tennis,Tennis,Dionysios Kasdaglis,GRE,Men,singles men,Silver,0,1,0
142,Athens (1896),1896,Weightlifting,Weightlifting,Alexandros Nikolopoulos,GRE,Men,heavyweight - one hand lift men,Bronze,0,0,1
143,Athens (1896),1896,Weightlifting,Weightlifting,Launceston Elliott,GBR,Men,heavyweight - one hand lift men,Gold,1,0,0
144,Athens (1896),1896,Weightlifting,Weightlifting,Viggo Jensen,DEN,Men,heavyweight - one hand lift men,Silver,0,1,0
145,Athens (1896),1896,Weightlifting,Weightlifting,Sotirios Versis,GRE,Men,heavyweight - two hand lift men,Bronze,0,0,1
146,Athens (1896),1896,Weightlifting,Weightlifting,Viggo Jensen,DEN,Men,heavyweight - two hand lift men,Gold,1,0,0
147,Athens (1896),1896,Weightlifting,Weightlifting,Launceston Elliott,GBR,Men,heavyweight - two hand lift men,Silver,0,1,0
148,Athens (1896),1896,Wrestling,Wrestling Greco-Romano,Stephanos Christopoulos,GRE,Men,open event men,Bronze,0,0,1
149,Athens (1896),1896,Wrestling,Wrestling Greco-Romano,Carl Schumann,GER,Men,open event men,Gold,1,0,0
150,Athens (1896),1896,Wrestling,Wrestling Greco-Romano,Georgios Tsitas,GRE,Men,open event men,Silver,0,1,0
151,Paris (1900),1900,Aquatics,Swimming,Zoltan Halmay,HUN,Men,1500m freestyle men,Bronze,0,0,1
152,Paris (1900),1900,Aquatics,Swimming,John Arthur Jarvis,GBR,Men,1500m freestyle men,Gold,1,0,0
153,Paris (1900),1900,Aquatics,Swimming,Otto Wahle,AUT,Men,1500m freestyle men,Silver,0,1,0
154,Paris (1900),1900,Aquatics,Swimming,Johannes Drost,NED,Men,200m backstroke men,Bronze,0,0,1
155,Paris (1900),1900,Aquatics,Swimming,Ernst Hoppenberg,GER,Men,200m backstroke men,Gold,1,0,0
156,Paris (1900),1900,Aquatics,Swimming,Karl Ruberl,AUT,Men,200m backstroke men,Silver,0,1,0
157,Paris (1900),1900,Aquatics,Swimming,Karl Ruberl,AUT,Men,200m freestyle men,Bronze,0,0,1
158,Paris (1900),1900,Aquatics,Swimming,Frederick C.V. Lane,AUS,Men,200m freestyle men,Gold,1,0,0
159,Paris (1900),1900,Aquatics,Swimming,Zoltan Halmay,HUN,Men,200m freestyle men,Silver,0,1,0
160,Paris (1900),1900,Aquatics,Swimming,Peter Kemp,GBR,Men,200m obstacle event men,Bronze,0,0,1
161,Paris (1900),1900,Aquatics,Swimming,Frederick C.V. Lane,AUS,Men,200m obstacle event men,Gold,1,0,0
162,Paris (1900),1900,Aquatics,Swimming,Otto Wahle,AUT,Men,200m obstacle event men,Silver,0,1,0
163,Paris (1900),1900,Aquatics,Swimming,Houben,FRA,Men,200m team swimming men,Bronze,0,0,1
164,Paris (1900),1900,Aquatics,Swimming,Jean Leuillieux,FRA,Men,200m team swimming men,Bronze,0,0,1
165,Paris (1900),1900,Aquatics,Swimming,Louis Martin,FRA,Men,200m team swimming men,Bronze,0,0,1
166,Paris (1900),1900,Aquatics,Swimming,Désiré Merchez,FRA,Men,200m team swimming men,Bronze,0,0,1
167,Paris (1900),1900,Aquatics,Swimming,Tartara,FRA,Men,200m team swimming men,Bronze,0,0,1
168,Paris (1900),1900,Aquatics,Swimming,Julius Frey,GER,Men,200m team swimming men,Gold,1,0,0
169,Paris (1900),1900,Aquatics,Swimming,Max Hainle,GER,Men,200m team swimming men,Gold,1,0,0
170,Paris (1900),1900,Aquatics,Swimming,Ernst Hoppenberg,GER,Men,200m team swimming men,Gold,1,0,0
171,Paris (1900),1900,Aquatics,Swimming,Max Schöne,GER,Men,200m team swimming men,Gold,1,0,0
172,Paris (1900),1900,Aquatics,Swimming,Herbert Von petersdorff,GER,Men,200m team swimming men,Gold,1,0,0
173,Paris (1900),1900,Aquatics,Swimming,Bertrand,FRA,Men,200m team swimming men,Silver,0,1,0
174,Paris (1900),1900,Aquatics,Swimming,Cadet,FRA,Men,200m team swimming men,Silver,0,1,0
175,Paris (1900),1900,Aquatics,Swimming,Maurice Hochepied,FRA,Men,200m team swimming men,Silver,0,1,0
176,Paris (1900),1900,Aquatics,Swimming,Victor Hochepied,FRA,Men,200m team swimming men,Silver,0,1,0
177,Paris (1900),1900,Aquatics,Swimming,Verbecke,FRA,Men,200m team swimming men,Silver,0,1,0
178,Paris (1900),1900,Aquatics,Swimming,Louis Martin,FRA,Men,4000m freestyle men,Bronze,0,0,1
179,Paris (1900),1900,Aquatics,Swimming,John Arthur Jarvis,GBR,Men,4000m freestyle men,Gold,1,0,0
180,Paris (1900),1900,Aquatics,Swimming,Zoltan Halmay,HUN,Men,4000m freestyle men,Silver,0,1,0
181,Paris (1900),1900,Aquatics,Swimming,Peder Lykkeberg,DEN,Men,underwater swimming men,Bronze,0,0,1
182,Paris (1900),1900,Aquatics,Swimming,Charles De vendeville,FRA,Men,underwater swimming men,Gold,1,0,0
183,Paris (1900),1900,Aquatics,Swimming,André Six,FRA,Men,underwater swimming men,Silver,0,1,0
184,Paris (1900),1900,Aquatics,Water polo,Thomas Burgess,FRA,Men,water polo men,Bronze,0,0,1
185,Paris (1900),1900,Aquatics,Water polo,Coulon,FRA,Men,water polo men,Bronze,0,0,1
186,Paris (1900),1900,Aquatics,Water polo,Alphonse Decuyper,FRA,Men,water polo men,Bronze,0,0,1
187,Paris (1900),1900,Aquatics,Water polo,Devenot,FRA,Men,water polo men,Bronze,0,0,1
188,Paris (1900),1900,Aquatics,Water polo,Fardelle,FRA,Men,water polo men,Bronze,0,0,1
189,Paris (1900),1900,Aquatics,Water polo,Favier,FRA,Men,water polo men,Bronze,0,0,1
190,Paris (1900),1900,Aquatics,Water polo,Louis Laufray,FRA,Men,water polo men,Bronze,0,0,1
191,Paris (1900),1900,Aquatics,Water polo,Leriche,FRA,Men,water polo men,Bronze,0,0,1
192,Paris (1900),1900,Aquatics,Water polo,Louis Martin,FRA,Men,water polo men,Bronze,0,0,1
193,Paris (1900),1900,Aquatics,Water polo,Désiré Merchez,FRA,Men,water polo men,Bronze,0,0,1
194,Paris (1900),1900,Aquatics,Water polo,Henri Peslier,FRA,Men,water polo men,Bronze,0,0,1
195,Paris (1900),1900,Aquatics,Water polo,Pesloy,FRA,Men,water polo men,Bronze,0,0,1
196,Paris (1900),1900,Aquatics,Water polo,Charles Treffel,FRA,Men,water polo men,Bronze,0,0,1
197,Paris (1900),1900,Aquatics,Water polo,Paul Vasseur,FRA,Men,water polo men,Bronze,0,0,1
198,Paris (1900),1900,Aquatics,Water polo,Thomas Coe,GBR,Men,water polo men,Gold,1,0,0
199,Paris (1900),1900,Aquatics,Water polo,John Henry Derbyshire,GBR,Men,water polo men,Gold,1,0,0
200,Paris (1900),1900,Aquatics,Water polo,Peter Kemp,GBR,Men,water polo men,Gold,1,0,0
201,Paris (1900),1900,Aquatics,Water polo,William Lister,GBR,Men,water polo men,Gold,1,0,0
202,Paris (1900),1900,Aquatics,Water polo,Arthur Robertson,GBR,Men,water polo men,Gold,1,0,0
203,Paris (1900),1900,Aquatics,Water polo,Eric Robinson,GBR,Men,water polo men,Gold,1,0,0
204,Paris (1900),1900,Aquatics,Water polo,George Wilkinson,GBR,Men,water polo men,Gold,1,0,0
205,Paris (1900),1900,Aquatics,Water polo,Henri Cohen,BEL,Men,water polo men,Silver,0,1,0
206,Paris (1900),1900,Aquatics,Water polo,Jean De backer,BEL,Men,water polo men,Silver,0,1,0
207,Paris (1900),1900,Aquatics,Water polo,Victor De behr,BEL,Men,water polo men,Silver,0,1,0
208,Paris (1900),1900,Aquatics,Water polo,Fernand Feyaerts,BEL,Men,water polo men,Silver,0,1,0
209,Paris (1900),1900,Aquatics,Water polo,Oscar Gregoire,BEL,Men,water polo men,Silver,0,1,0
210,Paris (1900),1900,Aquatics,Water polo,Albert Michant,BEL,Men,water polo men,Silver,0,1,0
211,Paris (1900),1900,Aquatics,Water polo,Victor Sonnemans,BEL,Men,water polo men,Silver,0,1,0
212,Paris (1900),1900,Archery,Archery,Charles Frédéric Petit,FRA,Men,"au chapelet, 33m men",Bronze,0,0,1
213,Paris (1900),1900,Archery,Archery,Hubert Van innis,BEL,Men,"au chapelet, 33m men",Gold,1,0,0
214,Paris (1900),1900,Archery,Archery,Victor Thibaud,FRA,Men,"au chapelet, 33m men",Silver,0,1,0
215,Paris (1900),1900,Archery,Archery,Emile Mercier,FRA,Men,"au chapelet, 50m men",Bronze,0,0,1
216,Paris (1900),1900,Archery,Archery,Eugène Mougin,FRA,Men,"au chapelet, 50m men",Gold,1,0,0
217,Paris (1900),1900,Archery,Archery,Henri Helle,FRA,Men,"au chapelet, 50m men",Silver,0,1,0
218,Paris (1900),1900,Archery,Archery,Charles Frédéric Petit,FRA,Men,"au cordon doré, 33m men",Bronze,0,0,1
219,Paris (1900),1900,Archery,Archery,Hubert Van innis,BEL,Men,"au cordon doré, 33m men",Gold,1,0,0
220,Paris (1900),1900,Archery,Archery,Victor Thibaud,FRA,Men,"au cordon doré, 33m men",Silver,0,1,0
221,Paris (1900),1900,Archery,Archery,Emile Fisseux,FRA,Men,"au cordon doré, 50m men",Bronze,0,0,1
222,Paris (1900),1900,Archery,Archery,Henri Herouin,FRA,Men,"au cordon doré, 50m men",Gold,1,0,0
223,Paris (1900),1900,Archery,Archery,Hubert Van innis,BEL,Men,"au cordon doré, 50m men",Silver,0,1,0
224,Paris (1900),1900,Archery,Archery,Emmanuel Foulon,BEL,Men,sur la perche à la herse men,Gold,1,0,0
225,Paris (1900),1900,Archery,Archery,Jr. Druart,BEL,Men,sur la perche à la herse men,Silver,0,1,0
226,Paris (1900),1900,Archery,Archery,Auguste Serrurier,FRA,Men,sur la perche à la herse men,Silver,0,1,0
227,Paris (1900),1900,Archery,Archery,Louis Glineux,BEL,Men,sur la perche à la pyramide men,Bronze,0,0,1
228,Paris (1900),1900,Archery,Archery,Emile Grumiaux,FRA,Men,sur la perche à la pyramide men,Gold,1,0,0
229,Paris (1900),1900,Archery,Archery,Auguste Serrurier,FRA,Men,sur la perche à la pyramide men,Silver,0,1,0
230,Paris (1900),1900,Athletics,Athletics,Stanley Rowley,AUS,Men,100m men,Bronze,0,0,1
231,Paris (1900),1900,Athletics,Athletics,Francis Jarvis,USA,Men,100m men,Gold,1,0,0
232,Paris (1900),1900,Athletics,Athletics,Walter B. John Tewksbury,USA,Men,100m men,Silver,0,1,0
233,Paris (1900),1900,Athletics,Athletics,Frederick Moloney,USA,Men,110m hurdles men,Bronze,0,0,1
234,Paris (1900),1900,Athletics,Athletics,Alvin Kraenzlein,USA,Men,110m hurdles men,Gold,1,0,0
235,Paris (1900),1900,Athletics,Athletics,John Mclean,USA,Men,110m hurdles men,Silver,0,1,0
236,Paris (1900),1900,Athletics,Athletics,John Bray,USA,Men,1500m men,Bronze,0,0,1
237,Paris (1900),1900,Athletics,Athletics,Charles Bennett,GBR,Men,1500m men,Gold,1,0,0
238,Paris (1900),1900,Athletics,Athletics,Henri Deloge,FRA,Men,1500m men,Silver,0,1,0
239,Paris (1900),1900,Athletics,Athletics,Stanley Rowley,AUS,Men,200m men,Bronze,0,0,1
